event_type,player_positions,time,start,distance,angle,pressure,outcome
,"{'home': {'GK': (5.0, 40.0), 'LCB': (24.7, 34.8), 'RCB': (24.5, 44.7), 'LB': (21.8, 14.6), 'RB': (21.9, 64.2), 'LCM': (45.6, 34.5), 'RCM': (45.0, 55.6), 'CDM': (41.1, 42.8), 'LW': (70.0, 15.0), 'ST': (80.0, 40.0), 'RW': (70.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (95.5, 34.8), 'RCB': (102.7, 43.5), 'LB': (99.5, 19.5), 'RB': (97.6, 65.3), 'LCM': (75.0, 34.6), 'RCM': (74.0, 53.1), 'CDM': (78.6, 43.2), 'LW': (55.0, 15.0), 'ST': (46.8, 40.4), 'RW': (55.0, 65.0)}}",1.0,"(70.0, 65.0)",70.0,65.0,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 40.0), 'RCB': (30.0, 40.0), 'LB': (35.0, 15.0), 'RB': (35.6, 63.6), 'LCM': (63.1, 34.3), 'RCM': (63.2, 42.4), 'CDM': (46.7, 41.3), 'LW': (66.7, 15.0), 'ST': (76.5, 44.1), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (90.0, 40.7), 'RCB': (93.2, 40.4), 'LB': (85.4, 15.5), 'RB': (71.2, 56.0), 'LCM': (57.2, 32.9), 'RCM': (51.5, 44.1), 'CDM': (57.7, 43.0), 'LW': (55.0, 15.0), 'ST': (50.0, 40.0), 'RW': (55.0, 65.0)}}",6.0,"(76.5, 44.1)",76.5,44.1,0.0,goal
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 39.6), 'RCB': (21.2, 39.6), 'LB': (34.8, 17.1), 'RB': (30.3, 50.9), 'LCM': (50.6, 32.3), 'RCM': (51.5, 41.5), 'CDM': (44.0, 38.9), 'LW': (65.0, 15.0), 'ST': (70.0, 40.0), 'RW': (63.2, 64.6)}, 'away': {'GK': (115.0, 40.0), 'LCB': (90.0, 40.0), 'RCB': (90.0, 40.0), 'LB': (85.0, 15.0), 'RB': (80.5, 62.5), 'LCM': (61.8, 24.3), 'RCM': (57.9, 39.6), 'CDM': (55.9, 43.9), 'LW': (55.0, 15.0), 'ST': (51.1, 38.9), 'RW': (55.0, 65.0)}}",8.0,"(55.0, 15.0)",55.0,15.0,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (27.2, 38.3), 'RCB': (28.9, 40.6), 'LB': (20.1, 29.0), 'RB': (29.0, 52.0), 'LCM': (29.2, 34.9), 'RCM': (29.7, 37.5), 'CDM': (37.1, 38.5), 'LW': (65.0, 15.0), 'ST': (70.0, 40.0), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (90.0, 40.0), 'RCB': (90.5, 39.8), 'LB': (84.8, 14.6), 'RB': (85.0, 65.0), 'LCM': (65.6, 29.4), 'RCM': (64.5, 30.6), 'CDM': (71.6, 32.7), 'LW': (52.7, 15.1), 'ST': (50.4, 40.2), 'RW': (55.8, 66.6)}}",21.0,"(52.7, 15.1)",52.7,15.1,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (28.2, 39.6), 'RCB': (18.2, 39.6), 'LB': (20.7, 26.3), 'RB': (26.2, 53.5), 'LCM': (31.0, 31.6), 'RCM': (17.6, 29.9), 'CDM': (40.3, 40.4), 'LW': (65.0, 15.0), 'ST': (70.0, 40.0), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (90.0, 40.0), 'RCB': (90.0, 40.0), 'LB': (85.0, 15.0), 'RB': (85.0, 65.0), 'LCM': (58.0, 19.2), 'RCM': (51.3, 25.4), 'CDM': (50.7, 29.8), 'LW': (55.0, 15.0), 'ST': (47.7, 35.7), 'RW': (51.7, 66.2)}}",25.0,"(47.7, 35.7)",47.7,35.7,0.12,goal
,"{'home': {'GK': (5.0, 40.0), 'LCB': (20.0, 30.0), 'RCB': (20.0, 50.0), 'LB': (15.0, 15.0), 'RB': (15.0, 65.0), 'LCM': (40.0, 30.0), 'RCM': (40.0, 50.0), 'CDM': (35.0, 40.0), 'LW': (70.0, 15.0), 'ST': (80.0, 40.0), 'RW': (70.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (100.0, 30.0), 'RCB': (100.0, 50.0), 'LB': (105.0, 15.0), 'RB': (105.0, 65.0), 'LCM': (80.0, 30.0), 'RCM': (80.0, 50.0), 'CDM': (85.0, 40.0), 'LW': (50.0, 15.0), 'ST': (40.0, 40.0), 'RW': (50.0, 65.0)}}",0.0,"(80.0, 40.0)",80.0,40.0,0.5,goal
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 39.2), 'RCB': (20.0, 39.2), 'LB': (16.2, 42.5), 'RB': (22.9, 59.1), 'LCM': (24.9, 51.2), 'RCM': (30.8, 56.2), 'CDM': (33.1, 49.7), 'LW': (63.5, 16.5), 'ST': (70.0, 40.0), 'RW': (64.3, 62.6)}, 'away': {'GK': (115.0, 40.0), 'LCB': (90.0, 40.0), 'RCB': (90.0, 40.0), 'LB': (85.0, 15.0), 'RB': (82.9, 66.4), 'LCM': (41.4, 49.8), 'RCM': (61.2, 53.1), 'CDM': (65.7, 44.4), 'LW': (53.9, 17.5), 'ST': (46.4, 40.7), 'RW': (51.5, 64.0)}}",10.0,"(46.4, 40.7)",46.4,40.7,0.0,goal
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 41.5), 'RCB': (20.0, 41.5), 'LB': (25.2, 31.6), 'RB': (18.5, 46.4), 'LCM': (21.3, 41.6), 'RCM': (18.5, 43.2), 'CDM': (19.0, 43.3), 'LW': (65.0, 15.0), 'ST': (70.0, 40.0), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (90.0, 40.0), 'RCB': (91.4, 40.7), 'LB': (85.0, 15.0), 'RB': (85.0, 65.0), 'LCM': (46.2, 46.7), 'RCM': (63.0, 49.1), 'CDM': (57.2, 49.8), 'LW': (52.7, 16.8), 'ST': (50.0, 40.0), 'RW': (58.4, 59.1)}}",18.0,"(50.0, 40.0)",50.0,40.0,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (20.0, 30.0), 'RCB': (20.0, 50.0), 'LB': (15.0, 15.0), 'RB': (15.0, 65.0), 'LCM': (40.0, 30.0), 'RCM': (40.0, 50.0), 'CDM': (35.0, 40.0), 'LW': (70.0, 15.0), 'ST': (80.0, 40.0), 'RW': (70.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (100.0, 30.0), 'RCB': (100.0, 50.0), 'LB': (105.0, 15.0), 'RB': (105.0, 65.0), 'LCM': (80.0, 30.0), 'RCM': (80.0, 50.0), 'CDM': (85.0, 40.0), 'LW': (50.0, 15.0), 'ST': (40.0, 40.0), 'RW': (50.0, 65.0)}}",0.0,"(80.0, 40.0)",80.0,40.0,0.5,goal
,"{'home': {'GK': (4.9, 40.4), 'LCB': (30.0, 40.0), 'RCB': (20.0, 40.0), 'LB': (25.0, 15.0), 'RB': (29.0, 56.1), 'LCM': (42.6, 36.5), 'RCM': (40.5, 47.2), 'CDM': (35.8, 40.6), 'LW': (65.0, 15.0), 'ST': (70.0, 40.0), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (91.1, 41.8), 'RCB': (90.0, 40.0), 'LB': (88.6, 16.6), 'RB': (85.0, 65.0), 'LCM': (59.4, 33.6), 'RCM': (70.7, 47.5), 'CDM': (60.3, 38.5), 'LW': (57.3, 16.6), 'ST': (45.8, 38.6), 'RW': (56.4, 69.5)}}",4.0,"(57.3, 16.6)",57.3,16.6,0.21,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 40.0), 'RCB': (27.1, 40.0), 'LB': (26.1, 22.7), 'RB': (26.5, 52.9), 'LCM': (42.5, 32.3), 'RCM': (26.1, 39.9), 'CDM': (22.7, 38.4), 'LW': (65.0, 15.0), 'ST': (70.0, 40.0), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (97.2, 39.6), 'RCB': (88.3, 41.6), 'LB': (78.5, 17.6), 'RB': (77.8, 61.9), 'LCM': (63.5, 30.4), 'RCM': (39.2, 43.0), 'CDM': (34.2, 38.0), 'LW': (54.2, 15.6), 'ST': (50.0, 40.0), 'RW': (55.0, 65.0)}}",24.0,"(42.5, 32.3)",42.5,32.3,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (25.7, 33.7), 'RCB': (25.0, 44.7), 'LB': (22.1, 15.2), 'RB': (21.9, 65.4), 'LCM': (46.0, 31.9), 'RCM': (46.6, 50.7), 'CDM': (39.7, 40.9), 'LW': (70.0, 15.0), 'ST': (76.1, 40.9), 'RW': (70.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (94.5, 34.0), 'RCB': (94.9, 45.3), 'LB': (98.1, 14.3), 'RB': (98.2, 64.8), 'LCM': (75.1, 34.6), 'RCM': (73.6, 52.4), 'CDM': (79.2, 43.6), 'LW': (55.0, 15.0), 'ST': (47.0, 40.1), 'RW': (52.7, 66.4)}}",1.0,"(70.0, 65.0)",70.0,65.0,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (23.1, 41.2), 'RCB': (30.0, 41.2), 'LB': (30.8, 20.6), 'RB': (21.9, 55.9), 'LCM': (43.2, 36.4), 'RCM': (35.9, 52.2), 'CDM': (42.2, 40.4), 'LW': (65.1, 15.9), 'ST': (70.0, 40.0), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (90.0, 40.0), 'RCB': (88.7, 38.5), 'LB': (85.1, 14.3), 'RB': (85.0, 65.0), 'LCM': (49.6, 43.5), 'RCM': (58.8, 51.8), 'CDM': (69.1, 39.1), 'LW': (57.3, 16.7), 'ST': (49.7, 41.8), 'RW': (55.0, 65.0)}}",6.0,"(58.8, 51.8)",58.8,51.8,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.9, 39.0), 'RCB': (20.9, 39.0), 'LB': (32.6, 15.3), 'RB': (29.0, 50.6), 'LCM': (32.7, 26.4), 'RCM': (48.2, 33.7), 'CDM': (42.6, 35.9), 'LW': (65.0, 15.0), 'ST': (71.0, 36.4), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (90.0, 40.0), 'RCB': (90.0, 40.0), 'LB': (76.5, 17.7), 'RB': (79.8, 61.2), 'LCM': (50.0, 23.0), 'RCM': (58.8, 41.5), 'CDM': (57.1, 23.2), 'LW': (55.0, 15.0), 'ST': (49.8, 43.8), 'RW': (58.5, 64.8)}}",18.0,"(50.0, 23.0)",50.0,23.0,0.0,goal
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 40.3), 'RCB': (24.8, 41.3), 'LB': (19.3, 19.3), 'RB': (25.4, 56.0), 'LCM': (38.2, 31.1), 'RCM': (38.5, 40.2), 'CDM': (26.1, 30.7), 'LW': (64.1, 15.9), 'ST': (70.0, 40.0), 'RW': (65.0, 65.0)}, 'away': {'GK': (114.6, 39.0), 'LCB': (90.0, 40.0), 'RCB': (90.0, 40.0), 'LB': (85.0, 15.0), 'RB': (85.0, 65.0), 'LCM': (63.1, 23.6), 'RCM': (63.6, 46.1), 'CDM': (70.9, 35.2), 'LW': (53.8, 19.2), 'ST': (46.8, 36.1), 'RW': (53.6, 67.5)}}",5.0,"(53.8, 19.2)",53.8,19.2,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (31.7, 41.0), 'RCB': (21.7, 41.0), 'LB': (20.5, 21.9), 'RB': (23.9, 57.5), 'LCM': (24.4, 32.2), 'RCM': (34.3, 43.9), 'CDM': (25.9, 34.9), 'LW': (59.1, 12.2), 'ST': (70.0, 40.0), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (89.5, 40.1), 'RCB': (90.0, 40.0), 'LB': (85.0, 15.0), 'RB': (85.0, 65.0), 'LCM': (49.5, 25.5), 'RCM': (48.9, 46.5), 'CDM': (64.7, 37.1), 'LW': (57.8, 10.8), 'ST': (42.5, 35.9), 'RW': (48.2, 59.6)}}",7.0,"(42.5, 35.9)",42.5,35.9,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 40.0), 'RCB': (30.9, 38.4), 'LB': (34.4, 16.7), 'RB': (36.3, 66.0), 'LCM': (51.4, 37.3), 'RCM': (49.3, 49.9), 'CDM': (53.5, 43.0), 'LW': (67.9, 13.9), 'ST': (67.5, 35.4), 'RW': (60.3, 66.2)}, 'away': {'GK': (115.0, 41.7), 'LCB': (100.5, 40.3), 'RCB': (90.0, 40.3), 'LB': (58.8, 29.2), 'RB': (67.9, 55.7), 'LCM': (55.0, 37.4), 'RCM': (47.2, 42.0), 'CDM': (48.6, 46.6), 'LW': (56.4, 15.3), 'ST': (50.0, 40.0), 'RW': (55.0, 65.0)}}",25.0,"(36.3, 66.0)",36.3,66.0,0.0,miss
,"{'home': {'GK': (6.6, 40.8), 'LCB': (30.0, 40.0), 'RCB': (30.0, 40.0), 'LB': (35.0, 15.0), 'RB': (35.0, 65.0), 'LCM': (51.5, 45.2), 'RCM': (45.0, 51.4), 'CDM': (47.3, 48.3), 'LW': (63.9, 17.3), 'ST': (69.4, 37.9), 'RW': (62.7, 67.1)}, 'away': {'GK': (115.0, 40.0), 'LCB': (93.3, 40.4), 'RCB': (90.0, 40.4), 'LB': (53.0, 32.8), 'RB': (62.1, 54.7), 'LCM': (44.3, 37.6), 'RCM': (42.7, 44.4), 'CDM': (47.3, 43.1), 'LW': (55.0, 15.0), 'ST': (50.0, 40.0), 'RW': (55.0, 65.0)}}",28.0,"(69.4, 37.9)",69.4,37.9,0.0,goal
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 40.0), 'RCB': (30.0, 40.0), 'LB': (32.0, 21.7), 'RB': (32.8, 58.9), 'LCM': (44.5, 44.3), 'RCM': (47.7, 50.9), 'CDM': (40.7, 45.6), 'LW': (65.0, 15.0), 'ST': (70.0, 40.0), 'RW': (62.8, 66.8)}, 'away': {'GK': (115.1, 41.4), 'LCB': (90.0, 40.0), 'RCB': (89.8, 38.2), 'LB': (53.0, 32.8), 'RB': (68.2, 57.4), 'LCM': (38.4, 34.7), 'RCM': (49.2, 46.3), 'CDM': (54.4, 43.1), 'LW': (55.0, 15.0), 'ST': (50.0, 40.0), 'RW': (55.7, 63.1)}}",29.0,"(49.2, 46.3)",49.2,46.3,1.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 38.4), 'RCB': (29.1, 39.0), 'LB': (30.8, 21.0), 'RB': (25.7, 44.7), 'LCM': (42.2, 36.5), 'RCM': (29.5, 42.8), 'CDM': (33.9, 43.1), 'LW': (65.0, 15.0), 'ST': (70.0, 40.0), 'RW': (65.0, 65.0)}, 'away': {'GK': (114.7, 38.1), 'LCB': (90.0, 40.0), 'RCB': (89.1, 40.7), 'LB': (65.9, 26.1), 'RB': (55.0, 45.2), 'LCM': (60.9, 34.4), 'RCM': (64.9, 36.2), 'CDM': (59.4, 41.8), 'LW': (50.2, 11.2), 'ST': (51.3, 41.8), 'RW': (55.0, 65.0)}}",25.0,"(59.4, 41.8)",59.4,41.8,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 40.0), 'RCB': (30.0, 40.0), 'LB': (35.0, 15.0), 'RB': (31.5, 57.8), 'LCM': (41.0, 32.6), 'RCM': (33.4, 34.3), 'CDM': (41.4, 39.9), 'LW': (66.5, 14.0), 'ST': (71.9, 40.4), 'RW': (66.9, 64.5)}, 'away': {'GK': (115.0, 40.0), 'LCB': (98.9, 38.8), 'RCB': (90.0, 38.8), 'LB': (52.9, 23.6), 'RB': (46.6, 38.0), 'LCM': (49.9, 28.4), 'RCM': (53.4, 31.6), 'CDM': (49.4, 35.0), 'LW': (53.2, 16.5), 'ST': (50.0, 40.0), 'RW': (55.0, 65.0)}}",27.0,"(66.5, 14.0)",66.5,14.0,0.0,goal
,"{'home': {'GK': (5.0, 40.0), 'LCB': (30.0, 38.6), 'RCB': (21.4, 38.4), 'LB': (30.3, 30.6), 'RB': (22.8, 47.5), 'LCM': (22.8, 47.5), 'RCM': (29.8, 45.8), 'CDM': (30.2, 44.1), 'LW': (65.0, 15.0), 'ST': (68.2, 39.3), 'RW': (65.0, 65.0)}, 'away': {'GK': (114.2, 39.2), 'LCB': (90.1, 40.7), 'RCB': (90.0, 40.0), 'LB': (79.3, 16.5), 'RB': (64.5, 50.0), 'LCM': (62.4, 51.7), 'RCM': (63.6, 43.3), 'CDM': (58.7, 36.5), 'LW': (55.5, 14.7), 'ST': (48.0, 44.2), 'RW': (56.8, 59.7)}}",31.0,"(62.4, 51.7)",62.4,51.7,0.0,miss
,"{'home': {'GK': (5.0, 40.0), 'LCB': (23.4, 36.6), 'RCB': (16.9, 43.5), 'LB': (18.1, 21.7), 'RB': (17.4, 58.7), 'LCM': (44.2, 30.9), 'RCM': (34.2, 46.2), 'CDM': (28.0, 40.1), 'LW': (66.2, 15.9), 'ST': (72.9, 39.7), 'RW': (65.0, 65.0)}, 'away': {'GK': (115.0, 40.0), 'LCB': (95.5, 34.7), 'RCB': (94.7, 45.0), 'LB': (97.8, 15.4), 'RB': (98.3, 65.0), 'LCM': (75.3, 28.7), 'RCM': (76.1, 43.9), 'CDM': (78.3, 41.2), 'LW': (52.7, 15.5), 'ST': (40.0, 40.0), 'RW': (50.0, 65.0)}}",1.0,"(76.1, 43.9)",76.1,43.9,0.47,miss
